date,realtime_start,realtime_end,CPIAUCSL
2018-05-01,2025-05-17,2025-05-17,250.792
2018-06-01,2025-05-17,2025-05-17,251.018
2018-07-01,2025-05-17,2025-05-17,251.214
2018-08-01,2025-05-17,2025-05-17,251.663
2018-09-01,2025-05-17,2025-05-17,252.182
2018-10-01,2025-05-17,2025-05-17,252.772
2018-11-01,2025-05-17,2025-05-17,252.594
2018-12-01,2025-05-17,2025-05-17,252.767
2019-01-01,2025-05-17,2025-05-17,252.561
2019-02-01,2025-05-17,2025-05-17,253.319
2019-03-01,2025-05-17,2025-05-17,254.277
2019-04-01,2025-05-17,2025-05-17,255.233
2019-05-01,2025-05-17,2025-05-17,255.296
2019-06-01,2025-05-17,2025-05-17,255.213
2019-07-01,2025-05-17,2025-05-17,255.802
2019-08-01,2025-05-17,2025-05-17,256.036
2019-09-01,2025-05-17,2025-05-17,256.43
2019-10-01,2025-05-17,2025-05-17,257.155
2019-11-01,2025-05-17,2025-05-17,257.879
2019-12-01,2025-05-17,2025-05-17,258.63
2020-01-01,2025-05-17,2025-05-17,259.127
2020-02-01,2025-05-17,2025-05-17,259.25
2020-03-01,2025-05-17,2025-05-17,258.076
2020-04-01,2025-05-17,2025-05-17,256.032
2020-05-01,2025-05-17,2025-05-17,255.802
2020-06-01,2025-05-17,2025-05-17,257.042
2020-07-01,2025-05-17,2025-05-17,258.352
2020-08-01,2025-05-17,2025-05-17,259.316
2020-09-01,2025-05-17,2025-05-17,259.997
2020-10-01,2025-05-17,2025-05-17,260.319
2020-11-01,2025-05-17,2025-05-17,260.911
2020-12-01,2025-05-17,2025-05-17,262.045
2021-01-01,2025-05-17,2025-05-17,262.639
2021-02-01,2025-05-17,2025-05-17,263.573
2021-03-01,2025-05-17,2025-05-17,264.847
2021-04-01,2025-05-17,2025-05-17,266.625
2021-05-01,2025-05-17,2025-05-17,268.404
2021-06-01,2025-05-17,2025-05-17,270.71
2021-07-01,2025-05-17,2025-05-17,271.965
2021-08-01,2025-05-17,2025-05-17,272.752
2021-09-01,2025-05-17,2025-05-17,273.942
2021-10-01,2025-05-17,2025-05-17,276.528
2021-11-01,2025-05-17,2025-05-17,278.824
2021-12-01,2025-05-17,2025-05-17,280.806
2022-01-01,2025-05-17,2025-05-17,282.542
2022-02-01,2025-05-17,2025-05-17,284.525
2022-03-01,2025-05-17,2025-05-17,287.467
2022-04-01,2025-05-17,2025-05-17,288.582
2022-05-01,2025-05-17,2025-05-17,291.299
2022-06-01,2025-05-17,2025-05-17,295.072
2022-07-01,2025-05-17,2025-05-17,294.94
2022-08-01,2025-05-17,2025-05-17,295.162
2022-09-01,2025-05-17,2025-05-17,296.421
2022-10-01,2025-05-17,2025-05-17,297.979
2022-11-01,2025-05-17,2025-05-17,298.708
2022-12-01,2025-05-17,2025-05-17,298.808
2023-01-01,2025-05-17,2025-05-17,300.456
2023-02-01,2025-05-17,2025-05-17,301.476
2023-03-01,2025-05-17,2025-05-17,301.643
2023-04-01,2025-05-17,2025-05-17,302.858
2023-05-01,2025-05-17,2025-05-17,303.316
2023-06-01,2025-05-17,2025-05-17,304.099
2023-07-01,2025-05-17,2025-05-17,304.615
2023-08-01,2025-05-17,2025-05-17,306.138
2023-09-01,2025-05-17,2025-05-17,307.374
2023-10-01,2025-05-17,2025-05-17,307.653
2023-11-01,2025-05-17,2025-05-17,308.087
2023-12-01,2025-05-17,2025-05-17,308.735
2024-01-01,2025-05-17,2025-05-17,309.794
2024-02-01,2025-05-17,2025-05-17,311.022
2024-03-01,2025-05-17,2025-05-17,312.107
2024-04-01,2025-05-17,2025-05-17,313.016
2024-05-01,2025-05-17,2025-05-17,313.14
2024-06-01,2025-05-17,2025-05-17,313.131
2024-07-01,2025-05-17,2025-05-17,313.566
2024-08-01,2025-05-17,2025-05-17,314.131
2024-09-01,2025-05-17,2025-05-17,314.851
2024-10-01,2025-05-17,2025-05-17,315.564
2024-11-01,2025-05-17,2025-05-17,316.449
2024-12-01,2025-05-17,2025-05-17,317.603
2025-01-01,2025-05-17,2025-05-17,319.086
2025-02-01,2025-05-17,2025-05-17,319.775
2025-03-01,2025-05-17,2025-05-17,319.615
2025-04-01,2025-05-17,2025-05-17,320.321
