date,realtime_start,realtime_end,SP500
2018-05-21,2025-05-17,2025-05-17,2733.01
2018-05-22,2025-05-17,2025-05-17,2724.44
2018-05-23,2025-05-17,2025-05-17,2733.29
2018-05-24,2025-05-17,2025-05-17,2727.76
2018-05-25,2025-05-17,2025-05-17,2721.33
2018-05-28,2025-05-17,2025-05-17,
2018-05-29,2025-05-17,2025-05-17,2689.86
2018-05-30,2025-05-17,2025-05-17,2724.01
2018-05-31,2025-05-17,2025-05-17,2705.27
2018-06-01,2025-05-17,2025-05-17,2734.62
2018-06-04,2025-05-17,2025-05-17,2746.87
2018-06-05,2025-05-17,2025-05-17,2748.8
2018-06-06,2025-05-17,2025-05-17,2772.35
2018-06-07,2025-05-17,2025-05-17,2770.37
2018-06-08,2025-05-17,2025-05-17,2779.03
2018-06-11,2025-05-17,2025-05-17,2782.0
2018-06-12,2025-05-17,2025-05-17,2786.85
2018-06-13,2025-05-17,2025-05-17,2775.63
2018-06-14,2025-05-17,2025-05-17,2782.49
2018-06-15,2025-05-17,2025-05-17,2779.66
2018-06-18,2025-05-17,2025-05-17,2773.75
2018-06-19,2025-05-17,2025-05-17,2762.59
2018-06-20,2025-05-17,2025-05-17,2767.32
2018-06-21,2025-05-17,2025-05-17,2749.76
2018-06-22,2025-05-17,2025-05-17,2754.88
2018-06-25,2025-05-17,2025-05-17,2717.07
2018-06-26,2025-05-17,2025-05-17,2723.06
2018-06-27,2025-05-17,2025-05-17,2699.63
2018-06-28,2025-05-17,2025-05-17,2716.31
2018-06-29,2025-05-17,2025-05-17,2718.37
2018-07-02,2025-05-17,2025-05-17,2726.71
2018-07-03,2025-05-17,2025-05-17,2713.22
2018-07-04,2025-05-17,2025-05-17,
2018-07-05,2025-05-17,2025-05-17,2736.61
2018-07-06,2025-05-17,2025-05-17,2759.82
2018-07-09,2025-05-17,2025-05-17,2784.17
2018-07-10,2025-05-17,2025-05-17,2793.84
2018-07-11,2025-05-17,2025-05-17,2774.02
2018-07-12,2025-05-17,2025-05-17,2798.29
2018-07-13,2025-05-17,2025-05-17,2801.31
