date,realtime_start,realtime_end,DTWEXBGS
2018-05-21,2025-05-17,2025-05-17,111.6385
2018-05-22,2025-05-17,2025-05-17,111.1934
2018-05-23,2025-05-17,2025-05-17,111.6919
2018-05-24,2025-05-17,2025-05-17,111.4871
2018-05-25,2025-05-17,2025-05-17,111.5828
2018-05-28,2025-05-17,2025-05-17,
2018-05-29,2025-05-17,2025-05-17,112.2108
2018-05-30,2025-05-17,2025-05-17,111.6717
2018-05-31,2025-05-17,2025-05-17,111.988
2018-06-01,2025-05-17,2025-05-17,111.8253
2018-06-04,2025-05-17,2025-05-17,111.8235
2018-06-05,2025-05-17,2025-05-17,112.2628
2018-06-06,2025-05-17,2025-05-17,111.7517
2018-06-07,2025-05-17,2025-05-17,112.0719
2018-06-08,2025-05-17,2025-05-17,112.1057
2018-06-11,2025-05-17,2025-05-17,112.1097
2018-06-12,2025-05-17,2025-05-17,112.2129
2018-06-13,2025-05-17,2025-05-17,112.2569
2018-06-14,2025-05-17,2025-05-17,112.8581
2018-06-15,2025-05-17,2025-05-17,113.3369
2018-06-18,2025-05-17,2025-05-17,113.4889
2018-06-19,2025-05-17,2025-05-17,113.6379
2018-06-20,2025-05-17,2025-05-17,113.4774
2018-06-21,2025-05-17,2025-05-17,113.61
2018-06-22,2025-05-17,2025-05-17,113.3039
2018-06-25,2025-05-17,2025-05-17,113.2854
2018-06-26,2025-05-17,2025-05-17,113.301
2018-06-27,2025-05-17,2025-05-17,113.8964
2018-06-28,2025-05-17,2025-05-17,113.8399
2018-06-29,2025-05-17,2025-05-17,113.2583
2018-07-02,2025-05-17,2025-05-17,114.1669
2018-07-03,2025-05-17,2025-05-17,113.3217
2018-07-04,2025-05-17,2025-05-17,
2018-07-05,2025-05-17,2025-05-17,112.9756
2018-07-06,2025-05-17,2025-05-17,112.6426
2018-07-09,2025-05-17,2025-05-17,112.6423
2018-07-10,2025-05-17,2025-05-17,112.5792
2018-07-11,2025-05-17,2025-05-17,112.8582
2018-07-12,2025-05-17,2025-05-17,112.779
2018-07-13,2025-05-17,2025-05-17,113.0705
2018-07-16,2025-05-17,2025-05-17,112.8438
2018-07-17,2025-05-17,2025-05-17,113.1504
2018-07-18,2025-05-17,2025-05-17,113.3349
2018-07-19,2025-05-17,2025-05-17,113.9464
2018-07-20,2025-05-17,2025-05-17,113.3214
